Application Source,Department,Total_Applicants,Bot_Filtered,Total_Candidates_Human_Effort,Team_Effort_Candidates,Accepted_Offers,Avg_Years_Experience,Bot_Screen_rate,HR_Screen_rate,Team_Effectiveness,Overall_Effectiveness
Advertisement,Engineering,269,204,65,25,2,0.0,0.758364312267658,0.6153846153846154,0.08,0.03076923076923077
Advertisement,Finance,39,35,4,3,0,,0.8974358974358975,0.25,0.0,0.0
Advertisement,IT,65,56,9,5,1,15.0,0.8615384615384616,0.4444444444444444,0.2,0.1111111111111111
Advertisement,Operations,135,113,22,12,1,0.0,0.837037037037037,0.45454545454545453,0.08333333333333333,0.045454545454545456
Advertisement,Product,92,72,20,12,1,0.0,0.782608695652174,0.4,0.08333333333333333,0.05
Advertisement,Sales,165,126,39,21,2,4.0,0.7636363636363637,0.46153846153846156,0.09523809523809523,0.05128205128205128
Agency,Engineering,35,28,7,6,0,,0.8,0.14285714285714285,0.0,0.0
Agency,Finance,77,60,17,7,1,7.0,0.7792207792207793,0.5882352941176471,0.14285714285714285,0.058823529411764705
Agency,IT,47,37,10,4,0,,0.7872340425531915,0.6,0.0,0.0
Agency,Operations,100,61,39,24,4,6.0,0.61,0.38461538461538464,0.16666666666666666,0.10256410256410256
Agency,Product,81,50,31,20,5,4.4,0.6172839506172839,0.3548387096774194,0.25,0.16129032258064516
Agency,Sales,56,32,24,11,2,4.5,0.5714285714285714,0.5416666666666666,0.18181818181818182,0.08333333333333333
Campus Event,Engineering,363,135,228,121,10,0.8,0.371900826446281,0.4692982456140351,0.08264462809917356,0.043859649122807015
Campus Event,Finance,42,35,7,4,2,0.0,0.8333333333333334,0.42857142857142855,0.5,0.2857142857142857
Campus Event,IT,48,40,8,5,1,0.0,0.8333333333333334,0.375,0.2,0.125
Campus Event,Operations,124,120,4,2,0,,0.967741935483871,0.5,0.0,0.0
Campus Event,Product,110,86,24,20,2,0.0,0.7818181818181819,0.16666666666666666,0.1,0.08333333333333333
Campus Event,Sales,252,206,46,30,2,0.0,0.8174603174603174,0.34782608695652173,0.06666666666666667,0.043478260869565216
Campus Job Board,Engineering,817,652,165,77,2,0.5,0.7980416156670747,0.5333333333333333,0.025974025974025976,0.012121212121212121
Campus Job Board,Finance,143,138,5,4,1,1.0,0.965034965034965,0.2,0.25,0.2
Campus Job Board,IT,145,137,8,7,3,0.6666666666666666,0.9448275862068966,0.125,0.42857142857142855,0.375
Campus Job Board,Operations,306,297,9,5,1,0.0,0.9705882352941176,0.4444444444444444,0.2,0.1111111111111111
Campus Job Board,Product,424,303,121,57,1,2.0,0.714622641509434,0.5289256198347108,0.017543859649122806,0.008264462809917356
Campus Job Board,Sales,781,578,203,93,3,0.0,0.7400768245838668,0.541871921182266,0.03225806451612903,0.014778325123152709
Career Fair,Engineering,795,608,187,76,11,0.18181818181818182,0.7647798742138365,0.5935828877005348,0.14473684210526316,0.058823529411764705
Career Fair,Finance,78,69,9,2,0,,0.8846153846153846,0.7777777777777778,0.0,0.0
Career Fair,IT,79,69,10,6,1,0.0,0.8734177215189873,0.4,0.16666666666666666,0.1
Career Fair,Operations,220,202,18,7,0,,0.9181818181818182,0.6111111111111112,0.0,0.0
Career Fair,Product,156,114,42,23,0,,0.7307692307692307,0.4523809523809524,0.0,0.0
Career Fair,Sales,222,149,73,35,2,1.0,0.6711711711711712,0.5205479452054794,0.05714285714285714,0.0273972602739726
Internal Referral,Engineering,6,4,2,2,0,,0.6666666666666666,0.0,0.0,0.0
Internal Referral,Finance,13,6,7,2,0,,0.46153846153846156,0.7142857142857143,0.0,0.0
Internal Referral,IT,11,9,2,0,0,,0.8181818181818182,1.0,,0.0
Internal Referral,Operations,22,12,10,7,0,,0.5454545454545454,0.3,0.0,0.0
Internal Referral,Product,14,7,7,3,0,,0.5,0.5714285714285714,0.0,0.0
Internal Referral,Sales,8,6,2,1,0,,0.75,0.5,0.0,0.0
Outsourced,Engineering,7,6,1,1,0,,0.8571428571428571,0.0,0.0,0.0
Outsourced,Finance,7,7,0,0,0,,1.0,,,
Outsourced,IT,7,6,1,1,0,,0.8571428571428571,0.0,0.0,0.0
Outsourced,Operations,120,88,32,20,4,12.25,0.7333333333333333,0.375,0.2,0.125
Outsourced,Product,14,11,3,1,0,,0.7857142857142857,0.6666666666666666,0.0,0.0
Outsourced,Sales,7,6,1,1,0,,0.8571428571428571,0.0,0.0,0.0
Website,Engineering,235,156,79,33,2,2.5,0.6638297872340425,0.5822784810126582,0.06060606060606061,0.02531645569620253
Website,Finance,110,100,10,4,0,,0.9090909090909091,0.6,0.0,0.0
Website,IT,71,59,12,8,1,14.0,0.8309859154929577,0.3333333333333333,0.125,0.08333333333333333
Website,Operations,124,98,26,11,3,2.3333333333333335,0.7903225806451613,0.5769230769230769,0.2727272727272727,0.11538461538461539
Website,Product,154,113,41,24,1,0.0,0.7337662337662337,0.4146341463414634,0.041666666666666664,0.024390243902439025
Website,Sales,212,133,79,40,2,0.0,0.6273584905660378,0.4936708860759494,0.05,0.02531645569620253
